Trial,Seed,Parameters,Algorithm,Instance,Base,Flight Limit,Trucks Used,Trucks Submitted,Objective,Paper Makespan,Time,Flight Optimizer,Convergence Iterations,Convergence Count,Convergence First Objective,Convergence Final Objective,Convergence Improvement,Convergence Improvement Percent
1,0,vns_k_max=2;vns_max_iter=100,vns,MTLARP5_5_3_1.dat,20,1469.000000,2,2,3446.360346,3446.360346,53.626950,bc,initial@0;restart_elite@30;restart_elite@60;restart_new_pool@90;final@100,5,3446.360346,3446.360346,0.000000,0.000000
2,1,vns_k_max=2;vns_max_iter=100,vns,MTLARP5_5_3_1.dat,20,1469.000000,2,2,3417.287415,3417.287415,56.820159,bc,initial@0;restart_elite@30;restart_elite@60;restart_elite@90;final@100,5,3417.287415,3417.287415,0.000000,0.000000
3,2,vns_k_max=2;vns_max_iter=100,vns,MTLARP5_5_3_1.dat,20,1469.000000,2,2,3417.287415,3417.287415,63.940072,bc,initial@0;restart_elite@30;restart_elite@60;restart_elite@90;final@100,5,3417.287415,3417.287415,0.000000,0.000000
4,0,lns_destroy_frac=0.4;lns_max_iter=200,lns,MTLARP5_5_3_1.dat,20,1469.000000,2,2,3402.540495,3402.540495,60.891729,bc,initial_pool@0;candidate4:lns@61;candidate4:lns@135;candidate4:candidate_vnd@200;candidate6:lns@63;candidate6:candidate_vnd@200;candidate1:splitting@1,7,3446.360346,3402.540495,43.819851,1.271482
5,1,lns_destroy_frac=0.4;lns_max_iter=200,lns,MTLARP5_5_3_1.dat,20,1469.000000,2,2,3326.084702,3326.084702,63.853640,bc,initial_pool@0;candidate3:splitting@3,2,3417.287415,3326.084702,91.202713,2.668863
6,2,lns_destroy_frac=0.4;lns_max_iter=200,lns,MTLARP5_5_3_1.dat,20,1469.000000,2,2,3400.167085,3400.167085,56.054952,bc,initial_pool@0;candidate4:splitting@4,2,3417.287415,3400.167085,17.120330,0.500992
7,0,vnd_default,vnd,MTLARP5_5_3_1.dat,20,1469.000000,2,2,3550.124282,3550.124282,48.379370,bc,0;1,2,3556.920016,3550.124282,6.795734,0.191057
8,1,vnd_default,vnd,MTLARP5_5_3_1.dat,20,1469.000000,2,2,3417.287415,3417.287415,49.549796,bc,0;1,2,3417.287415,3417.287415,0.000000,0.000000
9,2,vnd_default,vnd,MTLARP5_5_3_1.dat,20,1469.000000,2,2,3400.167085,3400.167085,44.682875,bc,0;1,2,3445.861967,3400.167085,45.694882,1.326080
10,0,vns_k_max=2;vns_max_iter=100,vns,MTLARP5_5_3_2.dat,23,1368.000000,2,2,3166.721019,3166.721019,115.704913,bc,initial@0;restart_new_pool@30;restart_new_pool@60;restart_elite@90;final@100,5,3166.721019,3166.721019,0.000000,0.000000
11,1,vns_k_max=2;vns_max_iter=100,vns,MTLARP5_5_3_2.dat,23,1368.000000,2,2,3166.721019,3166.721019,102.028804,bc,initial@0;restart_elite@30;restart_elite@60;restart_elite@90;final@100,5,3166.721019,3166.721019,0.000000,0.000000
