Instance,Trucks Submitted,Flight Limit,Algorithm,Runs,Objective Mean,Objective Std,Paper Makespan Mean,Paper Makespan Std,Time Mean,Time Std,Seeds
MTLARP5_8_3_1.dat,2,1439.000000,lns,3,5041.342824,67.214920,5041.342824,67.214920,100.593040,6.227174,0;1;2
MTLARP5_8_3_1.dat,2,1439.000000,vnd,3,5035.629664,57.612923,5035.629664,57.612923,66.697007,5.987560,0;1;2
MTLARP5_8_3_1.dat,2,1439.000000,vns,3,5081.596227,29.151729,5081.596227,29.151729,122.697315,2.199434,0;1;2
MTLARP5_8_3_2.dat,2,1535.000000,lns,3,6001.248514,37.910830,6001.248514,37.910830,302.612429,22.550955,0;1;2
MTLARP5_8_3_2.dat,2,1535.000000,vnd,3,6014.844543,42.672886,6014.844543,42.672886,238.955365,20.576859,0;1;2
MTLARP5_8_3_2.dat,2,1535.000000,vns,3,6102.998631,205.098217,6102.998631,205.098217,305.221375,5.388041,0;1;2
MTLARP5_8_4_1.dat,2,1223.000000,lns,3,3990.089428,15.017495,3990.089428,15.017495,140.174869,6.272977,0;1;2
MTLARP5_8_4_1.dat,2,1223.000000,vnd,3,4052.933755,46.552156,4052.933755,46.552156,96.917453,11.794539,0;1;2
MTLARP5_8_4_1.dat,2,1223.000000,vns,3,4133.121681,90.299301,4133.121681,90.299301,146.130101,3.848111,0;1;2
MTLARP5_8_4_1.dat,3,1223.000000,lns,3,2812.728756,31.518733,2812.728756,31.518733,166.403660,18.795942,0;1;2
MTLARP5_8_4_1.dat,3,1223.000000,vnd,3,2863.117580,84.192368,2863.117580,84.192368,128.371324,13.124377,0;1;2
MTLARP5_8_4_1.dat,3,1223.000000,vns,3,2844.916292,30.785009,2844.916292,30.785009,176.505083,15.727862,0;1;2
MTLARP5_8_4_2.dat,2,1383.000000,lns,3,5132.922235,48.114929,5132.922235,48.114929,351.706019,9.033790,0;1;2
MTLARP5_8_4_2.dat,2,1383.000000,vnd,3,5206.986716,34.189231,5206.986716,34.189231,308.123893,50.411584,0;1;2
MTLARP5_8_4_2.dat,2,1383.000000,vns,3,5310.510222,105.241641,5310.510222,105.241641,329.431643,7.385370,0;1;2
MTLARP5_8_4_2.dat,3,1383.000000,lns,3,3695.951308,38.136721,3695.951308,38.136721,410.755029,19.274017,0;1;2
MTLARP5_8_4_2.dat,3,1383.000000,vnd,3,3799.390909,67.706774,3799.390909,67.706774,327.801391,32.329085,0;1;2
MTLARP5_8_4_2.dat,3,1383.000000,vns,3,3783.101072,47.995172,3783.101072,47.995172,405.120192,16.375437,0;1;2
MTLARP5_8_5_1.dat,2,1321.000000,lns,3,3900.215451,8.804705,3900.215451,8.804705,130.771002,1.701046,0;1;2
MTLARP5_8_5_1.dat,2,1321.000000,vnd,3,3946.740685,34.772247,3946.740685,34.772247,113.237375,10.420393,0;1;2
MTLARP5_8_5_1.dat,2,1321.000000,vns,3,3926.905502,19.630081,3926.905502,19.630081,141.621038,10.861183,0;1;2
MTLARP5_8_5_1.dat,3,1321.000000,lns,3,2785.822944,4.128984,2785.822944,4.128984,180.105903,15.966056,0;1;2
MTLARP5_8_5_1.dat,3,1321.000000,vnd,3,2934.999657,34.276148,2934.999657,34.276148,138.679058,7.393487,0;1;2
MTLARP5_8_5_1.dat,3,1321.000000,vns,3,2850.469009,34.241166,2850.469009,34.241166,173.997368,10.094981,0;1;2
MTLARP5_8_5_1.dat,4,1321.000000,lns,3,2251.956660,46.851192,2251.956660,46.851192,179.916774,17.569867,0;1;2
MTLARP5_8_5_1.dat,4,1321.000000,vnd,3,2184.719846,32.698117,2184.719846,32.698117,147.903216,18.807898,0;1;2
